Title;Price;Original Price;Discount;Stock;Delivery;Subcategory;_id
Baterai / Battery koin CR2032 untuk CMOS, Elektronik, DLL;Rp2.000;N/A;N/A;Stok Total: 4569;Dikirim dari Jakarta Barat;Baterai Jam;6853d4512729d3ab0237b500
L9735 - L9735TR HSSOP14 - Komponen Elektronik;Rp50.000;N/A;N/A;Stok Total: 100000;Dikirim dari Kota Tangerang Selatan;Lainnya;6853d4592729d3ab0237b501
Sekrup PPWM / TS 3x7 (500pcs) skrup Elektronik;Rp30.000;N/A;N/A;Stok Total: 898;Dikirim dari Kab. Tangerang;Skrup;6853d4602729d3ab0237b502
PEMBERSIH ELEKTRONIK , PCB BOARD VIRALO CONTACT CLEANER;Rp38.700;N/A;N/A;Stok Total: 73;Dikirim dari Kota Tangerang Selatan;Contact Cleaner;6853d4642729d3ab0237b503
Sesuai untuk(VIVO Y12S)kasus telepon,Komponen elektronik,bahan kaca tempered, anti drop, anti slip, wear-resistant - 1, VIVO Y12S;Rp58.000;N/A;N/A;Stok: 9.798;Dikirim dari Kab. Tangerang;Screen Protector Handphone;6853d4702729d3ab0237b504
MULTI METER DIGITAL DT-830B AVO METER TESTER ALAT UKUR ELEKTRONIK AVOMETER MULTITESTER MULTIMETER;Rp34.000;N/A;N/A;Stok Total: 995;Dikirim dari Kota Pekanbaru;Pengukur Arus Listrik;6853d4762729d3ab0237b505
Mainan Pop It Elektronik Elektrik Bubble Fidget Toy Anak Stress Relief;Rp59.900;N/A;N/A;Stok Total: 9937;Dikirim dari Jakarta Barat;Squishy;6853d47a2729d3ab0237b506
Tali Pengikat Kabel Strap Organizer Perapih Cable Kabel Kompter Elektronik - 1M;Rp29.999;N/A;N/A;Stok: 546;Dikirim dari Kota Administrasi Jakarta Barat;Cord Holder;6853d47f2729d3ab0237b507
Ballast Electronic / Trafo Elektronik / Ballast EB-Ci 14-28W Philips;Rp150.000;N/A;N/A;Stok Total: 100000;Dikirim dari Kota Administrasi Jakarta Pusat;Bohlam;6853d4832729d3ab0237b508
Biaya Packing Kayu Dunia Elektronik (HKO);Rp100.000;N/A;N/A;Stok Total: 162;Dikirim dari Kota Bekasi;Lainnya;6853d4872729d3ab0237b509
Timbangan Dapur Elektronik 5kg dengan Dukungan iOS Android untuk Pengukuran yang Akurat 5;Rp158.000;Rp650.000;76%;Stok Total: 99;Dikirim dari Kab. Tangerang;Sendok Takar;6853d48c2729d3ab0237b50a
Gantungan KEPALA KABEL holder tempat colokan kepala kabel elektronik - Merah Muda;Rp3.100;N/A;N/A;Stok: 216;Dikirim dari Kota Tangerang;Pelindung Kabel;6853d4922729d3ab0237b50b
Jam Elektronik Tempel Dashboard Mobil Outlet Ac Mobil Jam Luminous Glow In The Dark Universal - Biru;Rp37.000;Rp82.000;55%;Stok: 876;Dikirim dari Kab. Tangerang;Sill Plate Mobil;6853d4952729d3ab0237b50c
Solder soldering masda Alat patri timah perbaikan elektronik 40 watt - Solder Standart;Rp11.845;N/A;N/A;Stok: 10 rb;Dikirim dari Kota Administrasi Jakarta Utara;Timah Solder;6853d4992729d3ab0237b50d
Onemed | Timbangan Dapur Digital EK 2260 | Timbangan Dapur Elektronik;Rp130.000;Rp200.000;35%;Stok Total: Sisa 5;Dikirim dari Kota Bandung;Timbangan Dapur;6853d49e2729d3ab0237b50e
Eld Detektor Beban Elektronik Untuk Honda Civic Fit CR-V Element;Rp554.000;N/A;N/A;Stok Total: 12;Dikirim dari Kota Tasikmalaya;Alarm;6853d4a32729d3ab0237b50f
7W04F - TC7w04F Sop8 - Komponen Elektronik;Rp20.000;N/A;N/A;Stok Total: Sisa 3;Dikirim dari Kota Tangerang Selatan;Lainnya;6853d4a72729d3ab0237b510
HVR-1X-3 DIODE - Komponen Elektronik;Rp51.000;N/A;N/A;Stok Total: Sisa 7;Dikirim dari Kota Tangerang Selatan;Lainnya;6853d4ab2729d3ab0237b511
Sale Print Head Perlengkapan Elektronik Kantor Untuk HP 932 933 XL;Rp326.800;N/A;N/A;Stok Total: 160;Dikirim dari Kab. Tangerang;Spare part Printer;6853d4af2729d3ab0237b512
Solder Elektronik Iron Pemanas Alat Reparasi Perbaikan Perangkat Elektronik Portabel;Rp122.500;N/A;N/A;Stok Total: 100;Dikirim dari Kab. Bekasi;Soldering Kit;6853d4b32729d3ab0237b513
Gongjue Heat Gun Elektronik + Display 8018LCD 220V 450W - GJ-8018LCD;Rp352.000;N/A;N/A;Stok Total: 9998;Dikirim dari Jakarta Barat;Hot Gun;6853d4bd2729d3ab0237b514
LAKONI PRO KUNCI L SET ELEKTRONIK 7 PCS MILIMETER /HEX KEY ELECTRO SET;Rp17.900;N/A;N/A;Stok Total: 986;Dikirim dari Kab. Tangerang;Kunci L;6853d4c72729d3ab0237b515
Obeng Set Service HP Tablet Handphone Elektronik 31pcs kapusi/;Rp17.500;N/A;N/A;Stok Total: 4999;Dikirim dari Kota Administrasi Jakarta Barat;Obeng;6853d4cb2729d3ab0237b516
Obeng Elektronik Tool 16pcs JACKLY;Rp19.000;N/A;N/A;Stok Total: 100000;Dikirim dari Jakarta Pusat;Obeng;6853d4d02729d3ab0237b517
Digital Signage 49 inch Non Touch layar elektronik model standing;Rp19.349.999;N/A;N/A;Stok Total: Sisa 10;Dikirim dari Jakarta Utara;Frame Digital;6853d4d52729d3ab0237b518
ballast elektronik philips 36 watt / ballast EBC-EP 1x36 philips;Rp64.875;N/A;N/A;Stok Total: 48;Dikirim dari Jakarta Pusat;Bohlam;6853d4db2729d3ab0237b519
Mainan Anak Front Peace Sound Gun Pistol Elektronik Lampu Suara 2028A;Rp80.000;N/A;N/A;Stok Total: Sisa 5;Dikirim dari Kota Tangerang Selatan;Mainan Karaoke Anak;6853d4df2729d3ab0237b51a
Silicagel blue silikagel biru untuk kamera elektronik almari 100sachet;Rp24.500;N/A;N/A;Stok Total: 722;Dikirim dari Kab. Bantul;Silica Gel Kamera;6853d4e32729d3ab0237b51b
Mainan Dinosaurus Brontosaurus Elektronik Dino Space;Rp77.500;N/A;N/A;Stok Total: Sisa 5;Dikirim dari Kab. Bogor;Mainan Robot;6853d4e72729d3ab0237b51c
ORANGE 31 IN 1 OBENG JAM & ELEKTRONIK SET MULTIFUNGSI;Rp25.200;N/A;N/A;Stok Total: 980;Dikirim dari Kota Cirebon;Obeng;6853d4ec2729d3ab0237b51d
Sesuai untuk(OPPO A55)kasus telepon,Komponen elektronik,bahan kaca tempered, anti drop, anti slip, wear-resistant - 1, Kesing OPPO A55;Rp58.000;N/A;N/A;Stok: 9.799;Dikirim dari Kab. Tangerang;Screen Protector Handphone;6853d4f22729d3ab0237b51e
Baterai AAAA Batre A4 Alkaline E96 Batrai Stylus Elektronik dan Medis;Rp31.000;N/A;N/A;Stok Total: 14020;Dikirim dari Kota Administrasi Jakarta Pusat;Baterai;6853d4f72729d3ab0237b51f
kipas pendingin stb wifi modem dan peralatan elektronik 12cmx12cm;Rp40.000;N/A;N/A;Stok Total: 198;Dikirim dari Jakarta Pusat;Penguat Sinyal;6853d4fb2729d3ab0237b520
Box custom akrilik project elektronik/Box amplifier/Bok arduino - metode lem;Rp229.000;N/A;N/A;Stok: 13;Dikirim dari Jakarta Barat;Amplifier;6853d5012729d3ab0237b521
PU Electrical cor urethane flexibel untuk komponen elektronik otomotif dan mobile seluler;Rp215.000;N/A;N/A;Stok Total: Sisa 7;Dikirim dari Kota Bekasi;Cat Pelapis;6853d5082729d3ab0237b522
BOX X5 RANGKAIAN ELEKTRONIK BOX ARDUINO 19.5cm×9.5cm×5cm;Rp11.500;N/A;N/A;Stok Total: 500;Dikirim dari Kota Tangerang;Kotak Baterai;6853d50c2729d3ab0237b523
Bel Sepeda Elektronik 120db USB Charge;Rp99.000;N/A;N/A;Stok Total: 41;Dikirim dari Kota Denpasar;Lampu Sepeda;6853d5102729d3ab0237b524
spicer spacer kaki pcb elektronik - 2cm;Rp1.250;N/A;N/A;Stok: 30;Dikirim dari Kota Administrasi Jakarta Timur;Sarung Tangan Motor;6853d5162729d3ab0237b525
QTY 25 pcs sekrup lancip kepala Ring untuk box elektronik;Rp7.500;N/A;N/A;Stok Total: 184;Dikirim dari Kota Administrasi Jakarta Barat;Skrup;6853d51b2729d3ab0237b526
kabel adaptor power laptop notebook ori murah tebal panjang charger computer elektronik - Not Specified;Rp20.000;N/A;N/A;Stok: 52;Dikirim dari Kota Surakarta;Adaptor Laptop;6853d51f2729d3ab0237b527
Obeng Elektronik 30 in 1 Handphone ScrewDriver Set - hijau;Rp21.950;Rp24.555;11%;Stok: 99;Dikirim dari Kota Semarang;Obeng;6853d5232729d3ab0237b528
tool kit set SANDS solder 1 set alat service elektronik SANDS 14 pcs;Rp250.000;N/A;N/A;Stok Total: 100;Dikirim dari Jakarta Utara;Soldering Kit;6853d52d2729d3ab0237b529
1CBE Taffware Timbangan Badan Kaca Elektronik 180KG - SC-05 - Black;Rp48.600;N/A;N/A;Stok Total: 99971;Dikirim dari Kota Bandung;Timbangan Badan;6853d5312729d3ab0237b52a
Higrometer Termometer Tanah Digital LCD dengan Alat Ukur Elektronik;Rp329.900;N/A;N/A;Stok Total: 579;Dikirim dari Kota Administrasi Jakarta Barat;Pengukur Kelembaban;6853d5352729d3ab0237b52b
CDI Digital Beat, Scoopy  Pengapian Elektronik Elektrical Unit Yamamoto Motorcycle Karbu;Rp206.000;N/A;N/A;Stok Total: Sisa 3;Dikirim dari Kota Surabaya;Koil & CDI Motor;6853d5392729d3ab0237b52c
Finger Counter Tasbih Digital Alat Hitung Elektronik Import Impor;Rp5.000;N/A;N/A;Stok Total: 915;Dikirim dari Kota Semarang;Tasbih;6853d5412729d3ab0237b52d
Timbangan Koper Elektronik, Digital gantung bagasi 50 kg;Rp33.500;N/A;N/A;Stok Total: 48;Dikirim dari Jakarta Barat;Pengukur Berat;6853d5452729d3ab0237b52e
KRISBOW TIMBANGAN DAPUR ELEKTRONIK 5 KG;Rp268.000;N/A;N/A;Stok Total: Sisa 9;Dikirim dari Kota Administrasi Jakarta Barat;Timbangan Dapur;6853d54b2729d3ab0237b52f
Kap Elektrik Elektronik TL Neon 10w 10Watt 10 Watt ELIT GMC;Rp35.000;N/A;N/A;Stok Total: 9967;Dikirim dari Kota Bandung;Fitting Lampu;6853d5542729d3ab0237b530
Stiker Segel Komputer/elektronik Desain bebas 1x2cm Proses Cepat;Rp5.000;N/A;N/A;Stok Total: 100000;Dikirim dari Kab. Semarang;Tool Kit Set;6853d5582729d3ab0237b531
PANGGANGAN ELEKTRONIK / BARBERQUE GRILLER / ALAT PANGGANG LISTRIK;Rp245.000;N/A;N/A;Stok Total: Sisa 1;Dikirim dari Jakarta Pusat;Griller;6853d55c2729d3ab0237b532
lem speaker spiker sepiker hitam ORIGINAL DM Elektronik;Rp14.999;N/A;N/A;Stok Total: 635;Dikirim dari Kab. Karanganyar;Sound System;6853d5632729d3ab0237b533
Mosfet 47N60 Original Cbtn 47n60c3 Komponen Elektronik;Rp17.900;N/A;N/A;Stok Total: 98;Dikirim dari Kota Semarang;Buku Elektro;6853d5672729d3ab0237b534
Fuji - Uang Elektronik Kartu Flazz BCA Gen 2/ Emoney Mandiri - Flazz 1 Sisi;Rp138.000;N/A;N/A;Stok: 17;Dikirim dari Kota Administrasi Jakarta Barat;Hadiah Custom;6853d56b2729d3ab0237b535
UPS Eyota 1200VA /Eyota UPS 1200 VA Komputer, CCTV, Peralatan Elektronik;Rp827.800;N/A;N/A;Stok Total: Sisa 9;Dikirim dari Kota Surabaya;UPS;6853d56f2729d3ab0237b536
